Date,district_EN,subdistrict_EN,subdistrict_ZH,street_EN,street_ZH,building_name_EN,building_name_ZH,property_type_EN,property_type_ZH,floor_ZH,unit_ZH,site_area_EN,existing_gfa_breakdown,existing_gfa_total,txn_amt, unit_rate_1 ,potential_gfa,av,planning_use_ZH,photo_name,vendor_ZH,buyer_ZH,remark,link,Column1,_longitude_lands,_latitude_lands,_easting_lands,_northing_lands,longitude_lands,latitude_lands,easting_lands,northing_lands
8/7/2021,KLN,MGK,旺角,648-652 Nathan Road,彌敦道648-652號,Rex Building,皇上皇大廈,Shop,商舖,"地下
入則閣",A,NA,"1200
600",1800,110,"61,111.11",NA,NA,商業,nathanroad648-652.jpg,MR CHAN,JOYFUL NICE LIMITED,,,,114.1697,22.3187,835528.8,819966.5,114.1697,22.3187,835528.8,819966.5
17/5/2019,KLN,MGK,旺角,724-726 Nathan Road,彌敦道724-726號,726 Nathan Road,,Shop,商舖,地下,,NA,2994,2994,135,"45,090.18",NA,NA,商業,nathanroad724-726_gf.jpg,鄧清河,GLOBE POWER LIMITED,餐廳,,,114.1692,22.3212,835477.3,820243.3,114.1692,22.3212,835477.3,820243.3
21/11/2019,KLN,MGK,旺角,771-775 Nathan Road,彌敦道771-775號,Union Park Centre,栢宜中心,Shop,商舖,"地下
地庫",（G/F）WHOLE B/F,NA,"480
5341",5821,135,"23,191.89",NA,NA,商業,nathanroad771-775_gf.jpg,無原業主資料,Mr HO KIN YIP EDDY,,,,114.1679,22.3253,835343.4,820697.4,114.1679,22.3253,835343.4,820697.4
17/6/2021,KLN,MGK,旺角,33-37 Nelson Street,奶路臣街33-37號,Lisa House,依利大廈,Car Park,車位,其他樓層 ,全層,NA,32800,32800,121.8,"3,713.41",NA,NA,住宅（甲類）,nelsonstreet33-37_cp.jpg,無原業主資料,蔡柏能先生,,https://ps.hket.com/article/2984266,,114.1727,22.3192,835837.9,820021.8,114.1727,22.3192,835837.9,820021.8
17/3/2022,KLN,KLC,九龍城,3-13 Nga Tsin Long Road,衙前塱道3-13號全幢,Tai Wah Building,大華大廈,Composite Building,商住大廈,全幢,,7030,NA,NA,705, NA ,63270,11142.72167,住宅（甲類）(2),ngatsinlongroad3-13.jpg,無原業主資料,TOP LEADER CREATION LIMITED,,,,114.1891,22.3282,837527.5,821018.5,114.1891,22.3282,837527.5,821018.5
27/9/2019,KLN,MGK,旺角,34-36 Nullah Road,水渠道34-36號,Tung Lok Mansion,東樂大樓,Shop,商舖,地下,A-D,NA,2200,2200,174,"79,090.91",NA,NA,住宅（甲類）,nullahroad34-36.jpg,無原業主資料,Mr EDWIN LEONG SIU HUNG,,,,114.1698,22.3237,835539.2,820520.2,114.1698,22.3237,835539.2,820520.2
11/11/2020,KLN,TKW,土瓜灣,38 Pak Tai Street,北帝街38號,Downtown 38,,Shop,商舖,"地下
一樓
二樓
其他樓層
其他",全層,NA,"5670
7518
1457
403
403",15451,300,"19,936.20",NA,NA,住宅（甲類）,paktaistreet38_acrade.jpg,MS YU,Mr WONG,,,,114.1885,22.3209,837465.8,820210.1,114.1885,22.3209,837465.8,820210.1
11/3/2021,KLN,TKT,大角咀,2-20 Palm Street,棕樹街2-20號,Greenfield Garden,榮富苑,Shop,商舖,"一樓
二樓",全層,NA,"10500
10500",21000,230,"10,952.38",NA,NA,住宅（甲類）,palmstreet2-20.jpg,無原業主資料,Mr LAU (永倫),,,,114.1655,22.3196,835096.1,820066.2,114.1655,22.3196,835096.1,820066.2
20/5/2022,KLN,JOD,佐敦,91-103 Parkes Street,白加士街91-103號,Parkes Residence,珀·軒,Shop,商舖,"地下
一樓
二樓",6,NA,"262
3836
4136",8234,128,"15,545.30",NA,NA,商業,parkesstreet91-103.jpg,無原業主資料,JOVIAL DAY GROUP LIMITED,餐廳,,,114.1706,22.3061,835621.5,818571.2,114.1706,22.3061,835621.5,818571.2
1/12/2021,KLN,WTS,黃大仙,145-151 Po Kong Village Road,蒲崗村道145-151號,Che Wah Building,慈華大廈,Shop,商舖,"地下
入則閣
低層地下","全層
1-11
1A-7A",NA,"430
6519
6972",13921,114.68,"8,237.91",NA,NA,住宅（甲類）,pokongvillageroad145-151.jpg,無原業主資料,Miss SHIRLEY NG,老人院,,,114.2021,22.3466,838866.5,823056.2,114.2021,22.3466,838866.5,823056.2
30/5/2019,KLN,KLC,九龍城,266-266B Prince Edward Road West,太子道西266-266B號全幢,,,Residential Building,住宅大廈,全幢,,NA,"2500
2100
2100",6700,263,39253.73,NA,NA,住宅（乙類）,princeedwardroadwest266-266b.jpg,無原業主資料,Miss Lam,幼兒園,,,114.1791,22.3261,836497.3,820785.9,114.1791,22.3261,836497.3,820785.9
22/12/2020,KLN,MGK,旺角,181 Sai Yee Street,洗衣街181號全幢,Kwai Wah Court,貴華閣,Composite Building,商住大廈,全幢,,NA,1200,1200,156.4,130333.33,NA,NA,住宅（甲類）,saiyeestreet181.jpg,無原業主資料,周佩賢 (樂風集團)小姐,,https://ps.hket.com/article/2666542,,114.1707,22.3235,835631.9,820498,114.1707,22.3235,835631.9,820498
